Date,Open,High,Low,Close,Adj Close,Volume
2015-08-17,78.129997,79.000000,74.959999,75.000000,65.934311,35808700
2015-08-24,71.820000,76.220001,70.230003,75.949997,66.769478,48111800
2015-08-31,75.320000,76.769997,72.349998,73.099998,64.263969,44388400
2015-09-07,74.580002,75.199997,71.879997,72.629997,63.850796,22007900
2015-09-14,72.349998,75.870003,71.610001,71.860001,63.173870,31462500
2015-09-21,72.300003,72.839996,64.650002,64.980003,57.125496,53021200
2015-09-28,64.239998,66.099998,62.990002,65.699997,57.758461,45902000
2015-10-05,66.690002,72.709999,66.519997,71.300003,62.681564,40298800
2015-10-12,71.510002,71.529999,69.110001,69.680000,61.257374,26268900
2015-10-19,69.250000,72.830002,67.809998,71.750000,63.077168,42567300
2015-10-26,71.790001,73.279999,68.339996,72.989998,64.884377,31700700
2015-11-02,73.000000,75.930000,72.330002,73.839996,65.639984,28137900
2015-11-09,73.430000,73.610001,68.410004,69.629997,61.897511,29640600
2015-11-16,69.480003,71.209999,68.599998,71.139999,63.239845,26559000
2015-11-23,70.980003,71.900002,70.440002,71.220001,63.310944,12829200
2015-11-30,71.330002,72.790001,68.800003,69.980003,62.208656,30662300
2015-12-07,68.680000,68.730003,64.480003,65.430000,58.163944,35581900
2015-12-14,65.629997,67.879997,64.099998,65.110001,57.879467,40449000
2015-12-21,65.589996,70.489998,64.379997,69.379997,61.675289,24866300
2015-12-28,69.120003,69.629997,67.940002,67.959999,60.412975,14921400
2016-01-04,66.879997,68.440002,62.930000,63.290001,56.261578,38245300
2016-01-11,63.669998,63.700001,58.750000,59.869999,53.221382,47401800
2016-01-18,60.259998,62.560001,56.360001,60.980000,54.886814,35972700
2016-01-25,58.959999,62.450001,57.459999,62.240002,56.750793,51908400
2016-02-01,61.970001,66.989998,59.799999,66.120003,60.288601,40571300
2016-02-08,65.419998,65.639999,60.509998,63.150002,57.580540,29165000
2016-02-15,64.160004,67.790001,63.509998,65.419998,59.650337,23363600
2016-02-22,65.419998,68.000000,63.070000,66.870003,60.972458,26249900
2016-02-29,67.139999,73.959999,66.489998,72.839996,66.415924,34546300
2016-03-07,72.800003,75.730003,70.489998,72.800003,66.379463,35396200
2016-03-14,72.730003,76.940002,70.860001,75.470001,68.814003,43441800
2016-03-21,75.529999,76.349998,72.730003,75.290001,68.649879,20330300
2016-03-28,75.150002,77.250000,74.190002,76.790001,70.017555,21609400
2016-04-04,76.559998,77.040001,73.699997,74.349998,67.792763,23375000
2016-04-11,74.610001,79.779999,74.470001,79.169998,72.187660,29088600
2016-04-18,78.470001,80.889999,77.199997,78.320000,71.412636,33070300
2016-04-25,78.500000,79.169998,76.199997,77.720001,71.556519,31172300
2016-05-02,77.349998,78.070000,71.620003,73.360001,67.542290,30073100
2016-05-09,72.330002,73.610001,70.059998,70.070000,64.513191,31545900
2016-05-16,70.389999,72.180000,69.040001,69.870003,64.329056,26392500
2016-05-23,69.800003,73.589996,69.589996,71.959999,66.253319,20013000
2016-05-30,72.029999,75.139999,71.269997,75.040001,69.089066,17961100
2016-06-06,75.360001,78.699997,75.110001,76.029999,70.000549,23662200
2016-06-13,75.699997,76.660004,73.349998,75.930000,69.908463,21453900
2016-06-20,76.910004,78.250000,72.989998,73.029999,67.238464,26220000
2016-06-27,72.500000,76.989998,70.529999,76.449997,70.387238,25422100
2016-07-04,75.660004,77.430000,73.459999,77.370003,71.234291,17085800
2016-07-11,78.000000,81.000000,77.320000,80.699997,74.300201,25303400
2016-07-18,79.879997,81.379997,78.860001,79.379997,73.084885,22236700
2016-07-25,79.150002,84.290001,78.339996,82.760002,76.930878,34575700
2016-08-01,82.760002,82.959999,80.919998,82.559998,76.744957,16073000
2016-08-08,83.000000,83.790001,82.480003,83.000000,77.153969,14709600
2016-08-15,83.000000,84.730003,82.510002,83.839996,77.934799,19028200
2016-08-22,83.620003,84.680000,82.279999,82.660004,76.837914,14943700
